type,reason,image,actual_class,predicted_class,iou,det_conf,class_conf,xmin,ymin,xmax,ymax
false_positive,fp_no_gt_iou50,496ht.jpg,,tls-g,0.0,0.894303,0.938736,324.69,551.81,367.78,645.61
false_positive,fp_no_gt_iou50,254t.jpg,,tls-y,0.4161,0.862349,0.949406,579.8,417.43,617.69,485.78
false_positive,fp_wrong_class,1933bt.jpg,tls-c,tls-r,0.8729,0.880539,0.909289,324.78,525.61,369.81,629.21
false_positive,fp_no_gt_iou50,555dt.jpg,,tls-c,0.0,0.789926,0.963313,907.16,486.32,938.67,546.17
false_positive,fp_no_gt_iou50,520e.jpg,,sls-50,0.0,0.79636,0.912301,347.8,489.55,403.97,550.79
false_positive,fp_no_gt_iou50,534dt.jpg,,tls-g,0.0,0.766324,0.945879,800.76,484.99,877.33,515.23
false_positive,fp_wrong_class,484mt.jpg,tls-e,tls-g,0.8497,0.726349,0.945406,943.06,496.15,1004.96,526.05
false_positive,fp_no_gt_iou50,520f.jpg,,sls-50,0.0461,0.752935,0.910087,128.75,384.6,191.83,464.95
false_positive,fp_no_gt_iou50,428b.jpg,,sls-100,0.0,0.713329,0.95834,597.73,656.43,655.39,714.66
false_positive,fp_no_gt_iou50,1975t.jpg,,tls-g,0.2514,0.726301,0.932209,751.62,368.1,814.53,402.12
false_positive,fp_no_gt_iou50,909bt.jpg,,tls-e,0.0,0.722406,0.932591,608.14,375.77,677.47,405.08
false_positive,fp_no_gt_iou50,89ct.jpg,,tls-g,0.0,0.704404,0.944868,955.29,401.56,982.65,465.93
false_positive,fp_no_gt_iou50,555t.jpg,,tls-c,0.0,0.670774,0.957355,961.63,503.67,991.61,561.19
false_positive,fp_duplicate_or_unmatched,1397d.jpg,sls-100,sls-100,0.9542,0.675473,0.949866,70.41,511.23,192.72,662.5
false_positive,fp_no_gt_iou50,496gt.jpg,,tls-g,0.4742,0.680025,0.943294,1430.17,588.36,1465.56,682.92
false_positive,fp_no_gt_iou50,2703e.jpg,,tls-g,0.0,0.720436,0.889036,900.3,355.84,979.83,384.82
false_positive,fp_no_gt_iou50,762d.jpg,,sls-80,0.4931,0.655121,0.965307,0.0,394.17,59.72,487.41
false_positive,fp_duplicate_or_unmatched,2706a.jpg,tls-c,tls-c,0.7999,0.636953,0.96198,629.85,482.28,664.14,556.89
false_positive,fp_duplicate_or_unmatched,train_634.jpg,no honking,no honking,0.8873,0.646962,0.934772,595.35,649.36,748.52,804.35
false_positive,fp_no_gt_iou50,1081t.jpg,,tls-g,0.0,0.637255,0.947967,750.89,597.84,788.07,679.71
false_positive,fp_no_gt_iou50,534et.jpg,,tls-g,0.0,0.645342,0.925014,1495.15,553.83,1539.24,657.73
false_positive,fp_no_gt_iou50,475ht.jpg,,tls-y,0.0,0.605611,0.971761,1236.69,458.43,1282.6,567.61
false_positive,fp_no_gt_iou50,496ht.jpg,,tls-g,0.0,0.613203,0.946462,615.12,416.43,696.38,452.14
false_positive,fp_no_gt_iou50,2241a.jpg,,sls-40,0.0,0.623823,0.926582,714.09,681.84,754.95,721.39
false_positive,fp_no_gt_iou50,916f.jpg,,sls-40,0.4877,0.58317,0.967063,59.63,236.37,110.37,288.3
false_positive,fp_no_gt_iou50,609dt.jpg,,tls-g,0.0,0.586618,0.951841,0.0,469.5,26.15,580.44
false_positive,fp_no_gt_iou50,428a.jpg,,sls-100,0.0,0.581862,0.956191,638.93,664.97,691.31,717.06
false_positive,fp_no_gt_iou50,495jt.jpg,,tls-g,0.0,0.576005,0.949237,1600.71,568.0,1639.23,652.48
false_positive,fp_no_gt_iou50,500e.jpg,,sls-40,0.0,0.570758,0.953286,204.85,429.39,269.17,501.67
false_positive,fp_no_gt_iou50,552c.jpg,,sls-50,0.3391,0.534846,0.978582,229.63,415.42,275.34,463.22
false_positive,fp_no_gt_iou50,762c.jpg,,sls-80,0.3122,0.560144,0.927827,124.6,440.76,193.81,516.22
false_positive,fp_no_gt_iou50,534et.jpg,,tls-g,0.0,0.548677,0.944124,796.78,429.77,883.82,462.98
false_positive,fp_no_gt_iou50,186c.jpg,,tls-e,0.0,0.560442,0.90533,603.46,239.95,635.71,306.99
false_positive,fp_duplicate_or_unmatched,2706.jpg,tls-c,tls-c,0.8943,0.52735,0.955574,605.37,472.84,644.23,556.92
false_positive,fp_no_gt_iou50,1750.jpg,,tls-g,0.0,0.510329,0.963156,251.99,345.04,344.7,434.72
false_positive,fp_duplicate_or_unmatched,216bt.jpg,tls-e,tls-e,0.8643,0.514327,0.950845,424.74,334.38,483.24,462.26
false_positive,fp_no_gt_iou50,855d.jpg,,sls-80,0.4333,0.536427,0.910576,34.55,369.19,95.05,445.36
false_positive,fp_no_gt_iou50,496ht.jpg,,tls-g,0.0,0.518673,0.930966,1548.88,568.68,1585.81,668.52
false_positive,fp_no_gt_iou50,2703.jpg,,tls-g,0.0,0.538341,0.887036,916.36,404.61,982.14,432.88
false_positive,fp_no_gt_iou50,910bt.jpg,,tls-g,0.4034,0.512012,0.92696,639.65,392.0,701.48,420.11
false_positive,fp_no_gt_iou50,475gt.jpg,,tls-y,0.0,0.467892,0.958258,1190.67,499.99,1229.33,611.17
false_positive,fp_duplicate_or_unmatched,1975t.jpg,tls-g,tls-g,0.7361,0.473135,0.944044,1055.05,357.84,1131.64,387.23
false_positive,fp_duplicate_or_unmatched,2369b.jpg,sls-50,sls-50,0.9177,0.488927,0.910321,494.77,189.28,578.95,274.16
false_positive,fp_no_gt_iou50,452h.jpg,,sls-80,0.3375,0.469159,0.93734,101.46,420.73,179.84,499.87
false_positive,fp_no_gt_iou50,872c.jpg,,sls-80,0.4059,0.482033,0.892779,182.44,391.39,224.27,438.92
false_positive,fp_no_gt_iou50,910ct.jpg,,tls-g,0.4195,0.441987,0.971293,0.29,303.82,27.85,390.74
false_positive,fp_no_gt_iou50,845.jpg,,sls-100,0.3831,0.43897,0.976704,278.46,415.93,317.92,455.05
false_positive,fp_no_gt_iou50,874d.jpg,,sls-40,0.368,0.445143,0.93475,48.57,359.42,85.72,406.1
