class_name,tp,fp,fn,precision,recall,f1,support
tls-g,361,160,469,0.6928982725527831,0.43493975903614457,0.534418948926721,830
sls-40,143,31,126,0.8218390804597702,0.5315985130111525,0.6455981941309256,269
tls-e,78,24,141,0.7647058823529411,0.3561643835616438,0.4859813084112149,219
tls-y,47,25,115,0.6527777777777778,0.29012345679012347,0.4017094017094017,162
sls-50,75,23,86,0.7653061224489796,0.4658385093167702,0.5791505791505791,161
sls-100,105,17,45,0.860655737704918,0.7,0.7720588235294117,150
sls-80,62,25,72,0.7126436781609196,0.4626865671641791,0.5610859728506787,134
no honking,117,2,17,0.9831932773109243,0.8731343283582089,0.924901185770751,134
tls-r,69,5,59,0.9324324324324325,0.5390625,0.6831683168316832,128
sls-60,66,4,47,0.9428571428571428,0.584070796460177,0.7213114754098361,113
sls-70,48,0,50,1.0,0.4897959183673469,0.6575342465753424,98
sls-15,4,8,43,0.3333333333333333,0.0851063829787234,0.13559322033898305,47
tls-c,21,7,18,0.75,0.5384615384615384,0.6268656716417911,39
